ID	index	Hchain	Lchain	antigen_chain	antigen_type	date	resolution	method	r_free	r_factor	scfv	affinity	delta_g	temperature	pmid	type	L_cluster	H_cluster	Ag_cluster	all_clusters
5ldn_HL_A	1542	H	L	A	protein	06/27/16	2.7	X-RAY DIFFRACTION	0.223	0.164	False	None	None	None	None	Fab	374	520	10	520:374:10
5lhq_B!_A	1543	B	missing	A	protein	07/12/16	2.6	X-RAY DIFFRACTION	0.217	0.178	False	None	None	None	None	Nanobody	missing	981	241	981:missing:241
5lhr_B!_A	1544	B	missing	A	protein	07/12/16	2.3	X-RAY DIFFRACTION	0.243	0.188	False	None	None	None	None	Nanobody	missing	1299	241	1299:missing:241
5lqb_HL_A	1545	H	L	A	protein	08/16/16	1.95	X-RAY DIFFRACTION	0.291	0.189	False	None	None	None	None	Fab	140	459	453	459:140:453
5lxa_HH_A	1550	H	H	A	protein	09/20/16	3.0	X-RAY DIFFRACTION	0.254	0.199	True	None	None	None	None	scFv	3	7	188	7:3:188
5m14_C!_A	1551	C	missing	A	protein	10/07/16	1.6	X-RAY DIFFRACTION	0.216	0.190	False	None	None	None	None	Nanobody	missing	1038	102	1038:missing:102
5m15_C!_A	1552	C	missing	A	protein	10/07/16	1.9	X-RAY DIFFRACTION	0.257	0.209	False	None	None	None	None	Nanobody	missing	1039	102	1039:missing:102
5m2j_D!_A	1559	D	missing	A	protein	10/13/16	1.9	X-RAY DIFFRACTION	0.196	0.158	False	None	None	None	None	Nanobody	missing	1315	434	1315:missing:434
5mi0_BC_A	1577	B	C	A	protein	11/27/16	2.35	X-RAY DIFFRACTION	0.222	0.176	False	None	None	None	None	Fab	141	320	191	320:141:191
5mje_B!_A	1578	B	missing	A	protein	11/30/16	2.599	X-RAY DIFFRACTION	0.297	0.227	False	None	None	None	None	Nanobody	missing	1112	517	1112:missing:517
5mo9_HL_X	1579	H	L	X	protein	12/14/16	2.594	X-RAY DIFFRACTION	0.224	0.190	False	None	None	None	None	Fab	61	812	544	812:61:544
5mwn_N!_A	1587	N	missing	A	protein	01/18/17	2.2	X-RAY DIFFRACTION	0.220	0.199	False	None	None	None	None	Nanobody	missing	1279	157	1279:missing:157
5my6_B!_A	1588	B	missing	A	protein	01/25/17	2.246	X-RAY DIFFRACTION	0.220	0.185	False	None	None	None	None	Nanobody	missing	1316	22	1316:missing:22
5nmv_HL_K	1597	H	L	K	protein	04/07/17	1.65	X-RAY DIFFRACTION	0.202	0.175	False	None	None	None	None	Fab	467	322	639	322:467:639
5o02_C!_A	1602	C	missing	A	protein	05/16/17	1.72	X-RAY DIFFRACTION	0.181	0.150	False	None	None	None	None	Nanobody	missing	1113	170	1113:missing:170
5o14_CD_B	1615	C	D	B	protein	05/18/17	2.195	X-RAY DIFFRACTION	0.250	0.192	False	None	None	None	None	Fab	205	226	250	226:205:250
5o14_HL_A	1616	H	L	A	protein	05/18/17	2.195	X-RAY DIFFRACTION	0.250	0.192	False	None	None	None	None	Fab	205	226	279	226:205:279
5o4g_BA_C	1621	B	A	C	protein	05/29/17	3.0	X-RAY DIFFRACTION	0.271	0.229	False	None	None	None	None	Fab	130	627	22	627:130:22
5ob5_HL_A	1623	H	L	A	protein	06/26/17	1.65	X-RAY DIFFRACTION	0.195	0.168	False	None	None	None	None	Fab	253	392	640	392:253:640
5occ_HL_A	1624	H	L	A	protein	06/30/17	2.5	X-RAY DIFFRACTION	0.261	0.192	False	None	None	None	None	Fab	163	265	386	265:163:386
5omn_C!_B	1630	C	missing	B	protein	08/01/17	2.682	X-RAY DIFFRACTION	0.263	0.235	False	None	None	None	None	Nanobody	missing	1336	158	1336:missing:158
5t5f_HL_A	1647	H	L	A	protein	08/30/16	2.98	X-RAY DIFFRACTION	0.273	0.223	False	None	None	None	None	Fab	164	813	250	813:164:250
5t85_HL_G	1653	H	L	G	protein	09/06/16	2.373	X-RAY DIFFRACTION	0.250	0.195	False	None	None	None	None	Fab	469	30	403	30:469:403
5tih_HL_A	1657	H	L	A	protein	10/03/16	2.44	X-RAY DIFFRACTION	0.212	0.189	False	None	None	None	None	Fab	367	814	143	814:367:143
5tz2_HL_C	1676	H	L	C	protein	11/21/16	2.302	X-RAY DIFFRACTION	0.255	0.201	False	None	None	None	None	Fab	470	779	508	779:470:508
5u4l_B!_A	1679	B	missing	A	protein	12/05/16	2.5	X-RAY DIFFRACTION	0.257	0.209	False	None	None	None	None	Nanobody	missing	989	215	989:missing:215
5uea_AB_X	1687	A	B	X	protein	12/29/16	1.701	X-RAY DIFFRACTION	0.207	0.154	False	None	None	None	None	Fab	40	690	410	690:40:410
5uea_HL_D	1688	H	L	D	protein	12/29/16	1.701	X-RAY DIFFRACTION	0.207	0.154	False	None	None	None	None	Fab	40	690	443	690:40:443
5uem_HL_G	1689	H	L	G	protein	01/02/17	2.7	X-RAY DIFFRACTION	0.266	0.220	False	None	None	None	None	Fab	376	51	112	51:376:112
5ukr_HL_G	1719	H	L	G	protein	01/23/17	2.712	X-RAY DIFFRACTION	0.265	0.201	False	None	None	None	None	Fab	573	323	313	323:573:313
5vag_CB_A	1738	C	B	A	protein	03/26/17	1.9	X-RAY DIFFRACTION	0.227	0.191	False	None	None	None	None	Fab	139	324	150	324:139:150
5van_B!_A	1739	B	missing	A	protein	03/27/17	2.202	X-RAY DIFFRACTION	0.211	0.186	False	None	None	None	None	Nanobody	missing	1158	13	1158:missing:13
5vic_HL_E	1747	H	L	E	protein	04/14/17	3.0	X-RAY DIFFRACTION	0.286	0.235	False	None	None	None	None	Fab	528	461	610	461:528:610
5vkd_HL_A	1758	H	L	A	protein	04/21/17	1.749	X-RAY DIFFRACTION	0.202	0.176	False	None	None	None	None	Fab	40	70	545	70:40:545
5vlp_HL_A	1764	H	L	A	protein	04/25/17	2.9	X-RAY DIFFRACTION	0.209	0.171	False	None	None	None	None	Fab	280	393	34	393:280:34
5vpg_DC_A	1770	D	C	A	protein	05/05/17	1.95	X-RAY DIFFRACTION	0.199	0.156	False	None	None	None	None	Fab	529	521	293	521:529:293
5vxj_J!_I	1777	J	missing	I	protein	08/30/17	2.5	X-RAY DIFFRACTION	0.259	0.196	False	None	None	None	None	Nanobody	missing	1236	225	1236:missing:225
5vxk_B!_A	1778	B	missing	A	protein	05/23/17	2.55	X-RAY DIFFRACTION	0.273	0.202	False	None	None	None	None	Nanobody	missing	1086	190	1086:missing:190
5vxl_B!_A	1779	B	missing	A	protein	05/23/17	2.8	X-RAY DIFFRACTION	0.273	0.202	False	None	None	None	None	Nanobody	missing	1302	190	1302:missing:190
5vxm_B!_A	1780	B	missing	A	protein	05/23/17	2.05	X-RAY DIFFRACTION	0.246	0.210	False	None	None	None	None	Nanobody	missing	1087	248	1087:missing:248
5w06_HL_T	1783	H	L	T	protein	05/30/17	2.6	X-RAY DIFFRACTION	0.235	0.186	False	None	None	None	None	Fab	64	631	318	631:64:318
5w0d_BC_A	1784	B	C	A	protein	05/30/17	1.899	X-RAY DIFFRACTION	0.234	0.196	False	None	None	None	None	Fab	473	12	144	12:473:144
5w5x_HL_A	1807	H	L	A	protein	06/16/17	2.502	X-RAY DIFFRACTION	0.244	0.187	False	None	None	None	None	Fab	474	853	382	853:474:382
5w6g_HL_A	1810	H	L	A	protein	06/16/17	2.79	X-RAY DIFFRACTION	0.253	0.218	False	None	None	None	None	Fab	282	158	144	158:282:144
5wb9_HL_G	1814	H	L	G	protein	06/28/17	2.4	X-RAY DIFFRACTION	0.258	0.213	False	None	None	None	None	Fab	629	394	112	394:629:112
5wi9_FE_B	1824	F	E	B	protein	07/18/17	2.7	X-RAY DIFFRACTION	0.270	0.216	False	None	None	None	None	Fab	157	782	13	782:157:13
5wi9_HL_A	1825	H	L	A	protein	07/18/17	2.7	X-RAY DIFFRACTION	0.270	0.216	False	None	None	None	None	Fab	637	155	13	155:637:13
5wux_HL_E	1832	H	L	E	protein	12/21/16	2.9	X-RAY DIFFRACTION	0.266	0.226	False	None	None	None	None	Fab	377	817	434	817:377:434
5x2m_HL_A	1835	H	L	A	protein	05/24/17	2.206	X-RAY DIFFRACTION	0.227	0.173	False	None	None	None	None	Fab	105	462	70	462:105:70
5x8m_BC_A	1841	B	C	A	protein	03/03/17	2.661	X-RAY DIFFRACTION	0.219	0.181	False	None	None	None	None	Fab	157	735	498	735:157:498
5xez_CD_A	1844	C	D	A	protein	04/06/17	3.0	X-RAY DIFFRACTION	0.243	0.210	False	None	None	None	None	Fab	283	41	36	41:283:36
5xez_HL_B	1845	H	L	B	protein	04/06/17	3.0	X-RAY DIFFRACTION	0.243	0.210	False	None	None	None	None	Fab	283	41	46	41:283:46
5xku_CB_A	1848	C	B	A	protein	05/09/17	1.78	X-RAY DIFFRACTION	0.242	0.206	False	None	None	None	None	Fab	130	463	150	463:130:150
5xmh_DC_B	1849	D	C	B	protein	05/15/17	2.8	X-RAY DIFFRACTION	0.272	0.220	False	None	None	None	None	Fab	221	576	304	576:221:304
5xmh_HL_A	1850	H	L	A	protein	05/15/17	2.8	X-RAY DIFFRACTION	0.272	0.220	False	None	None	None	None	Fab	157	576	304	576:157:304
5xwd_HD_A	1852	H	D	A	protein	06/29/17	2.894	X-RAY DIFFRACTION	0.331	0.277	False	None	None	None	None	Fab	418	1237	24	1237:418:24
5y11_AB_C	1856	A	B	C	protein	07/19/17	2.1	X-RAY DIFFRACTION	0.210	0.169	False	None	None	None	None	Fab	208	464	152	464:208:152
6a0z_HL_A	1881	H	L	A	protein	06/06/18	2.329	X-RAY DIFFRACTION	0.218	0.172	False	None	None	None	None	Fab	475	228	146	228:475:146
6al5_HL_A	1893	H	L	A	protein	08/07/17	3.0	X-RAY DIFFRACTION	0.263	0.189	False	None	None	None	None	Fab	142	327	267	327:142:267
6aod_BA_C	1894	B	A	C	protein	08/15/17	1.8	X-RAY DIFFRACTION	0.207	0.182	False	None	None	None	None	Fab	283	854	263	854:283:263
6app_A!_B	1901	A	missing	B	protein	08/17/17	1.75	X-RAY DIFFRACTION	0.219	0.172	False	None	None	None	None	Nanobody	missing	1317	628	1317:missing:628
6aq7_HL_A	1902	H	L	A	protein	08/18/17	1.83	X-RAY DIFFRACTION	0.230	0.197	False	None	None	None	None	Fab	165	736	527	736:165:527
6b08_CB_A	1907	C	B	A	protein	09/14/17	2.2	X-RAY DIFFRACTION	0.233	0.191	False	None	None	None	None	Fab	575	328	375	328:575:375
6b0a_HL_A	1908	H	L	A	protein	09/14/17	2.5	X-RAY DIFFRACTION	0.249	0.217	False	None	None	None	None	Fab	157	395	375	395:157:375
6b0g_DC_E	1910	D	C	E	protein	09/14/17	1.9	X-RAY DIFFRACTION	0.200	0.164	False	None	None	None	None	Fab	99	130	375	130:99:375
6b0s_HL_C	1915	H	L	C	protein	09/15/17	1.95	X-RAY DIFFRACTION	0.224	0.180	False	None	None	None	None	Fab	458	577	634	577:458:634
6b20_F!_A	1916	F	missing	A	protein	05/30/18	2.34	X-RAY DIFFRACTION	0.249	0.200	False	None	None	None	None	Nanobody	missing	1320	124	1320:missing:124
6b9j_AB_Y	1923	A	B	Y	protein	10/10/17	2.9	X-RAY DIFFRACTION	0.269	0.241	False	None	None	None	None	Fab	304	818	277	818:304:277
6b9j_HL_X	1924	H	L	X	protein	10/10/17	2.9	X-RAY DIFFRACTION	0.269	0.241	False	None	None	None	None	Fab	157	818	277	818:157:277
6bck_HL_G	1929	H	L	G	protein	10/20/17	2.7	X-RAY DIFFRACTION	0.285	0.225	False	None	None	None	None	Fab	631	269	112	269:631:112
6bfs_HL_C	1937	H	L	C	protein	10/26/17	2.0	X-RAY DIFFRACTION	0.248	0.182	False	None	None	None	None	Fab	440	68	495	68:440:495
6bkc_HL_E	1940	H	L	E	protein	11/08/17	2.6	X-RAY DIFFRACTION	0.276	0.231	False	None	None	None	None	Fab	157	465	428	465:157:428
6c9u_HL_A	1961	H	L	A	protein	01/28/18	2.09	X-RAY DIFFRACTION	0.210	0.166	False	None	None	None	None	Fab	96	934	12	934:96:12
6c9w_B!_A	1962	B	missing	A	protein	01/29/18	3.0	X-RAY DIFFRACTION	0.295	0.276	False	None	None	None	None	Nanobody	missing	1088	83	1088:missing:83
6cmg_CB_A	1963	C	B	A	protein	03/05/18	2.7	X-RAY DIFFRACTION	0.275	0.229	False	None	None	None	None	Fab	618	131	73	131:618:73
6cxy_HL_C	1992	H	L	C	protein	04/10/19	2.2	X-RAY DIFFRACTION	0.197	0.163	False	None	None	None	None	Fab	143	887	305	887:143:305
6ddm_BA_C	2001	B	A	C	protein	05/10/18	1.3	X-RAY DIFFRACTION	0.205	0.188	False	None	None	None	None	Fab	209	632	593	632:209:593
6ddr_BA_C	2002	B	A	C	protein	05/10/18	1.9	X-RAY DIFFRACTION	0.247	0.208	False	None	None	None	None	Fab	285	329	578	329:285:578
6ddv_BA_C	2003	B	A	C	protein	05/10/18	2.05	X-RAY DIFFRACTION	0.275	0.223	False	None	None	None	None	Fab	61	270	578	270:61:578
6dfj_HL_E	2010	H	L	E	protein	05/14/18	2.07	X-RAY DIFFRACTION	0.232	0.184	False	None	None	None	None	Fab	286	466	561	466:286:561
6e4x_ZY_B	2018	Z	Y	B	protein	07/18/18	2.25	X-RAY DIFFRACTION	0.225	0.203	False	None	None	None	None	Fab	147	42	203	42:147:203
6elu_BC_A	2027	B	C	A	protein	09/29/17	2.3	X-RAY DIFFRACTION	0.220	0.191	False	None	None	None	None	Fab	140	272	334	272:140:334
6elu_EF_D	2028	E	F	D	protein	09/29/17	2.3	X-RAY DIFFRACTION	0.220	0.191	False	None	None	None	None	Fab	140	272	395	272:140:395
6ewb_EF_A	2034	E	F	A	protein	11/03/17	2.78	X-RAY DIFFRACTION	0.222	0.186	False	None	None	None	None	Fab	531	959	162	959:531:162
6f2g_B!_A	2052	B	missing	A	protein	11/24/17	2.92	X-RAY DIFFRACTION	0.261	0.238	False	None	None	None	None	Nanobody	missing	991	69	991:missing:69
6f5g_B!_A	2053	B	missing	A	protein	12/01/17	2.196	X-RAY DIFFRACTION	0.249	0.195	False	None	None	None	None	Nanobody	missing	1042	272	1042:missing:272
6fax_HL_R	2054	H	L	R	protein	12/18/17	2.99	X-RAY DIFFRACTION	0.231	0.185	False	None	None	None	None	Fab	532	634	380	634:532:380
6fv0_F!_A	2064	F	missing	A	protein	02/28/18	2.29	X-RAY DIFFRACTION	0.245	0.208	False	None	None	None	None	Nanobody	missing	1327	210	1327:missing:210
6gju_B!_A	2078	B	missing	A	protein	05/17/18	2.6	X-RAY DIFFRACTION	0.244	0.220	False	None	None	None	None	Nanobody	missing	1261	299	1261:missing:299
6gju_C!_A	2079	C	missing	A	protein	05/17/18	2.6	X-RAY DIFFRACTION	0.244	0.220	False	None	None	None	None	Nanobody	missing	1215	299	1215:missing:299
6gku_HL_A	2096	H	L	A	protein	05/21/18	1.91	X-RAY DIFFRACTION	0.201	0.166	False	None	None	None	None	Fab	287	738	433	738:287:433
6h02_B!_A	2103	B	missing	A	protein	07/06/18	2.8	X-RAY DIFFRACTION	0.240	0.199	False	None	None	None	None	Nanobody	missing	1138	0	1138:missing:0
6h16_B!_A	2106	B	missing	A	protein	07/11/18	2.9	X-RAY DIFFRACTION	0.252	0.211	False	None	None	None	None	Nanobody	missing	1239	25	1239:missing:25
6h2y_HL_D	2107	H	L	D	protein	07/17/18	2.65	X-RAY DIFFRACTION	0.275	0.205	False	None	None	None	None	Fab	479	467	273	467:479:273
6h6z_D!_A	2118	D	missing	A	protein	12/19/18	2.085	X-RAY DIFFRACTION	0.217	0.178	False	None	None	None	None	Nanobody	missing	1049	185	1049:missing:185
6hga_HL_B	2125	H	L	B	protein	08/23/18	2.6	X-RAY DIFFRACTION	0.232	0.205	False	None	None	None	None	Fab	66	330	216	330:66:216
6hhc_HL_A	2126	H	L	A	protein	08/27/18	2.7	X-RAY DIFFRACTION	0.314	0.227	False	None	None	None	None	Fab	214	739	263	739:214:263
6hhu_G!_A	2129	G	missing	A	protein	08/29/18	2.7	X-RAY DIFFRACTION	0.250	0.186	False	None	None	None	None	Nanobody	missing	1240	28	1240:missing:28
6hhu_H!_A	2130	H	missing	A	protein	08/29/18	2.7	X-RAY DIFFRACTION	0.250	0.186	False	None	None	None	None	Nanobody	missing	1140	28	1140:missing:28
6hig_HL_B	2131	H	L	B	protein	08/29/18	2.2	X-RAY DIFFRACTION	0.270	0.215	False	None	None	None	None	Fab	624	903	597	903:624:597
6hx4_HL_B	2137	H	L	B	protein	10/15/18	2.95	X-RAY DIFFRACTION	0.277	0.231	False	None	None	None	None	Fab	62	273	145	273:62:145
6hx4_IM_A	2138	I	M	A	protein	10/15/18	2.95	X-RAY DIFFRACTION	0.277	0.231	False	None	None	None	None	Fab	62	940	116	940:62:116
6i8g_B!_A	2145	B	missing	A	protein	11/20/18	2.344	X-RAY DIFFRACTION	0.222	0.194	False	None	None	None	None	Nanobody	missing	1060	21	1060:missing:21
6iap_ED_A	2153	E	D	A	protein	11/27/18	2.9	X-RAY DIFFRACTION	0.263	0.187	False	None	None	None	None	Fab	534	580	353	580:534:353
6iap_HL_A	2154	H	L	A	protein	11/27/18	2.9	X-RAY DIFFRACTION	0.263	0.187	False	None	None	None	None	Fab	264	397	353	397:264:353
6icc_HL_A	2155	H	L	A	protein	09/05/18	2.0	X-RAY DIFFRACTION	0.260	0.213	False	None	None	None	None	Fab	380	468	350	468:380:350
6iea_HL_A	2159	H	L	A	protein	09/13/18	2.0	X-RAY DIFFRACTION	0.225	0.181	False	None	None	None	None	Fab	71	888	172	888:71:172
6ieb_EF_B	2160	E	F	B	protein	09/13/18	2.409	X-RAY DIFFRACTION	0.246	0.195	False	None	None	None	None	Fab	458	966	172	966:458:172
6ieb_HL_A	2161	H	L	A	protein	09/13/18	2.409	X-RAY DIFFRACTION	0.246	0.195	False	None	None	None	None	Fab	613	856	172	856:613:172
6ion_HL_A	2176	H	L	A	protein	10/30/18	2.75	X-RAY DIFFRACTION	0.255	0.197	False	None	None	None	None	Fab	381	917	346	917:381:346
6ir1_B!_A	2177	B	missing	A	protein	11/09/18	1.919	X-RAY DIFFRACTION	0.232	0.180	False	None	None	None	None	Nanobody	missing	1116	300	1116:missing:300
6ir2_B!_A	2178	B	missing	A	protein	11/09/18	1.393	X-RAY DIFFRACTION	0.216	0.195	False	None	None	None	None	Nanobody	missing	1117	300	1117:missing:300
6iut_HL_A	2179	H	L	A	protein	11/30/18	2.3	X-RAY DIFFRACTION	0.255	0.205	False	None	None	None	None	Fab	288	469	295	469:288:295
6j14_AB_G	2186	A	B	G	protein	12/27/18	1.4	X-RAY DIFFRACTION	0.215	0.188	False	None	None	None	None	Fab	665	1338	557	1338:665:557
6j15_AB_C	2187	A	B	C	protein	12/27/18	2.6	X-RAY DIFFRACTION	0.277	0.212	False	None	None	None	None	Fab	169	935	518	935:169:518
6j15_HL_D	2188	H	L	D	protein	12/27/18	2.6	X-RAY DIFFRACTION	0.277	0.212	False	None	None	None	None	Fab	169	935	533	935:169:533
6j71_BB_A	2192	B	B	A	protein	01/16/19	2.918	X-RAY DIFFRACTION	0.267	0.208	True	None	None	None	None	scFv	9	23	22	23:9:22
6jb5_A!_B	2193	A	missing	B	protein	01/25/19	1.55	X-RAY DIFFRACTION	0.169	0.132	False	None	None	None	None	Nanobody	missing	1061	458	1061:missing:458
6jbt_HL_F	2194	H	L	F	protein	01/26/19	2.47	X-RAY DIFFRACTION	0.252	0.201	False	None	None	None	None	Fab	63	581	518	581:63:518
6k0y_AB_C	2204	A	B	C	protein	05/08/19	1.7	X-RAY DIFFRACTION	0.214	0.171	False	None	None	None	None	Fab	175	522	488	522:175:488
6k65_HL_A	2205	H	L	A	protein	06/01/19	1.65	X-RAY DIFFRACTION	0.192	0.170	False	None	None	None	None	Fab	653	1339	648	1339:653:648
6lr7_B!_A	2234	B	missing	A	protein	01/15/20	1.67	X-RAY DIFFRACTION	0.226	0.185	False	None	None	None	None	Nanobody	missing	1090	271	1090:missing:271
6lz9_HL_B	2242	H	L	B	protein	02/18/20	2.8	X-RAY DIFFRACTION	0.298	0.248	False	None	None	None	None	Fab	383	582	290	582:383:290
6m3b_CB_A	2243	C	B	A	protein	03/03/20	2.2	X-RAY DIFFRACTION	0.248	0.218	False	None	None	None	None	Fab	290	230	284	230:290:284
6m58_CD_B	2248	C	D	B	protein	03/10/20	2.95	X-RAY DIFFRACTION	0.242	0.193	False	None	None	None	None	Fab	535	820	35	820:535:35
6m58_HL_A	2249	H	L	A	protein	03/10/20	2.95	X-RAY DIFFRACTION	0.242	0.193	False	None	None	None	None	Fab	535	820	32	820:535:32
6meh_HL_C	2252	H	L	C	protein	09/06/18	1.99	X-RAY DIFFRACTION	0.230	0.186	False	None	None	None	None	Fab	384	160	385	160:384:385
6mg7_HL_G	2260	H	L	G	protein	09/13/18	2.91	X-RAY DIFFRACTION	0.307	0.250	False	None	None	None	None	Fab	576	523	112	523:576:112
6mlk_HL_A	2276	H	L	A	protein	09/27/18	2.45	X-RAY DIFFRACTION	0.235	0.175	False	None	None	None	None	Fab	144	787	227	787:144:227
6mto_HL_T	2303	H	L	T	protein	10/21/18	2.634	X-RAY DIFFRACTION	0.269	0.221	False	None	None	None	None	Fab	480	471	403	471:480:403
6mtq_HL_T	2304	H	L	T	protein	10/21/18	2.7	X-RAY DIFFRACTION	0.259	0.206	False	None	None	None	None	Fab	481	331	403	331:481:403
6mvl_HL_A	2305	H	L	A	protein	10/26/18	1.61	X-RAY DIFFRACTION	0.225	0.182	False	None	None	None	None	Fab	157	192	454	192:157:454
6mxt_N!_A	2310	N	missing	A	protein	10/31/18	2.95934	X-RAY DIFFRACTION	0.245	0.205	False	None	None	None	None	Nanobody	missing	1161	62	1161:missing:62
6n5e_GF_B	2332	G	F	B	protein	11/21/18	3.0	X-RAY DIFFRACTION	0.287	0.250	False	None	None	None	None	Fab	633	132	47	132:633:47
6n6b_KL_A	2334	K	L	A	protein	11/26/18	2.3	X-RAY DIFFRACTION	0.245	0.220	False	None	None	None	None	Fab	291	332	89	332:291:89
6nm6_UV_G	2361	U	V	G	protein	01/10/19	2.739	X-RAY DIFFRACTION	0.288	0.240	False	None	None	None	None	Fab	721	1019	64	1019:721:64
6nmt_BA_C	2368	B	A	C	protein	01/11/19	1.83	X-RAY DIFFRACTION	0.204	0.178	False	None	None	None	None	Fab	608	741	496	741:608:496
6nmv_HL_S	2371	H	L	S	protein	01/11/19	2.61	X-RAY DIFFRACTION	0.301	0.195	False	None	None	None	None	Fab	619	936	496	936:619:496
6nnf_UV_G	2375	U	V	G	protein	01/14/19	2.762	X-RAY DIFFRACTION	0.298	0.242	False	None	None	None	None	Fab	595	1062	64	1062:595:64
6nyq_HL_C	2376	H	L	C	protein	02/12/19	1.85	X-RAY DIFFRACTION	0.204	0.164	False	None	None	None	None	Fab	482	693	153	693:482:153
6o39_BA_C	2377	B	A	C	protein	02/26/19	1.8	X-RAY DIFFRACTION	0.234	0.196	False	None	None	None	None	Fab	40	526	483	526:40:483
6o3c_B!_A	2380	B	missing	A	protein	02/26/19	2.8	X-RAY DIFFRACTION	0.294	0.245	False	None	None	None	None	Nanobody	missing	1162	51	1162:missing:51
6o9i_AB_C	2382	A	B	C	protein	03/13/19	2.6	X-RAY DIFFRACTION	0.252	0.196	False	None	None	None	None	Fab	46	584	534	584:46:534
6o9i_DE_C	2383	D	E	C	protein	03/13/19	2.6	X-RAY DIFFRACTION	0.252	0.196	False	None	None	None	None	Fab	626	918	534	918:626:534
6obc_B!_A	2392	B	missing	A	protein	04/01/20	1.762	X-RAY DIFFRACTION	0.227	0.185	False	None	None	None	None	Nanobody	missing	1243	215	1243:missing:215
6obe_B!_A	2393	B	missing	A	protein	04/01/20	1.732	X-RAY DIFFRACTION	0.208	0.171	False	None	None	None	None	Nanobody	missing	1280	215	1280:missing:215
6obm_B!_A	2396	B	missing	A	protein	04/01/20	2.495	X-RAY DIFFRACTION	0.261	0.209	False	None	None	None	None	Nanobody	missing	1281	215	1281:missing:215
6ohg_CB_A	2410	C	B	A	protein	04/05/19	2.385	X-RAY DIFFRACTION	0.277	0.229	False	None	None	None	None	Fab	388	527	367	527:388:367
6okm_HL_R	2411	H	L	R	protein	04/14/19	2.1	X-RAY DIFFRACTION	0.238	0.211	False	None	None	None	None	Fab	294	742	521	742:294:521
6oor_HL_A	2418	H	L	A	protein	04/23/19	2.45	X-RAY DIFFRACTION	0.244	0.208	False	None	None	None	None	Fab	67	638	207	638:67:207
6oq6_D!_A	2419	D	missing	A	protein	04/25/19	2.97	X-RAY DIFFRACTION	0.274	0.259	False	None	None	None	None	Nanobody	missing	1020	120	1020:missing:120
6oq7_C!_A	2420	C	missing	A	protein	04/25/19	2.39	X-RAY DIFFRACTION	0.236	0.197	False	None	None	None	None	Nanobody	missing	1355	38	1355:missing:38
6os0_D!_A	2432	D	missing	A	protein	05/01/19	2.9	X-RAY DIFFRACTION	0.318	0.259	False	None	None	None	None	Nanobody	missing	1063	84	1063:missing:84
6osh_HL_K	2433	H	L	K	protein	04/01/20	1.117	X-RAY DIFFRACTION	0.169	0.162	False	None	None	None	None	Fab	658	1328	612	1328:658:612
6osv_HL_K	2434	H	L	K	protein	04/01/20	1.34	X-RAY DIFFRACTION	0.189	0.162	False	None	None	None	None	Fab	673	1244	612	1244:673:612
6otc_HL_A	2453	H	L	A	protein	05/02/19	1.7	X-RAY DIFFRACTION	0.233	0.196	False	None	None	None	None	Fab	161	639	477	639:161:477
6oy4_DC_A	2454	D	C	A	protein	05/14/19	2.45	X-RAY DIFFRACTION	0.260	0.203	False	None	None	None	None	Fab	140	585	478	585:140:478
6p50_HL_C	2471	H	L	C	protein	09/04/19	2.9	X-RAY DIFFRACTION	0.330	0.286	False	None	None	None	None	Fab	537	333	332	333:537:332
6phc_AB_I	2498	A	B	I	protein	06/25/19	2.9	X-RAY DIFFRACTION	0.238	0.200	False	None	None	None	None	Fab	96	92	401	92:96:401
6phc_CD_E	2499	C	D	E	protein	06/25/19	2.9	X-RAY DIFFRACTION	0.238	0.200	False	None	None	None	None	Fab	96	92	375	92:96:375
6pze_HL_A	2514	H	L	A	protein	07/31/19	2.3	X-RAY DIFFRACTION	0.197	0.156	False	None	None	None	None	Fab	305	528	90	528:305:90
6q0l_HL_A	2529	H	L	A	protein	08/01/19	2.5	X-RAY DIFFRACTION	0.260	0.217	False	None	None	None	None	Fab	389	24	308	24:389:308
6q0o_ZB_A	2530	Z	B	A	protein	08/02/19	3.0	X-RAY DIFFRACTION	0.268	0.230	False	None	None	None	None	Fab	389	24	144	24:389:144
6q18_HL_A	2531	H	L	A	protein	08/03/19	2.55	X-RAY DIFFRACTION	0.243	0.206	False	None	None	None	None	Fab	578	43	308	43:578:308
6q20_HL_A	2534	H	L	A	protein	08/06/19	2.45	X-RAY DIFFRACTION	0.272	0.217	False	None	None	None	None	Fab	215	111	91	111:215:91
6qfc_BB_A	2541	B	B	A	protein	01/09/19	1.96	X-RAY DIFFRACTION	0.219	0.193	True	None	None	None	None	scFv	5	9	432	9:5:432
6qgw_B!_A	2542	B	missing	A	protein	01/14/19	1.938	X-RAY DIFFRACTION	0.230	0.189	False	None	None	None	None	Nanobody	missing	1164	101	1164:missing:101
6qgx_B!_A	2543	B	missing	A	protein	01/14/19	2.2	X-RAY DIFFRACTION	0.266	0.229	False	None	None	None	None	Nanobody	missing	1065	101	1065:missing:101
6qig_HL_A	2546	H	L	A	protein	01/18/19	2.8	X-RAY DIFFRACTION	0.247	0.206	False	None	None	None	None	Fab	390	112	33	112:390:33
6qup_B!_A	2547	B	missing	A	protein	02/28/19	1.871	X-RAY DIFFRACTION	0.210	0.163	False	None	None	None	None	Nanobody	missing	1246	354	1246:missing:354
